City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jamestown,US,69.12,mist,42.097,-79.2353,Hampton Inn & Suites Jamestown
2,Guaruja,BR,77.07,moderate rain,-23.9931,-46.2564,Charme Hotel Guarujá
4,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
5,Mitsamiouli,KM,75.47,clear sky,-11.3847,43.2844,Foyer ADM
8,Shimoda,JP,66.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
9,Praia Da Vitoria,PT,71.76,few clouds,38.7333,-27.0667,Hotel Branco I
10,Atuona,PF,77.7,few clouds,-9.8,-139.0333,Villa Enata
11,Hithadhoo,MV,82.98,overcast clouds,-0.6,73.0833,Scoop Guest House
14,Hilo,US,81.81,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
15,Arraial Do Cabo,BR,80.56,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
20,Jiwani,PK,81.54,broken clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
23,Albany,US,65.75,moderate rain,42.6001,-73.9662,
24,Faanui,PF,78.62,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
26,San Quintin,MX,80.4,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
27,Banda Aceh,ID,78.75,broken clouds,5.5577,95.3222,Sulthan Hotel International
28,Daman,IN,80.8,overcast clouds,20.4167,72.85,Silver Sands Beach Resort
29,Puntarenas,CR,82.33,broken clouds,9.9763,-84.8384,Michael's Surfside Hotel
30,Byron Bay,AU,71.06,few clouds,-28.65,153.6167,Backpackers Inn on the Beach
31,Poso,ID,76.24,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
34,Kidal,ML,88.02,broken clouds,18.4411,1.4078,
38,Grand Gaube,MU,73.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
41,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
42,Rikitea,PF,73.62,broken clouds,-23.1203,-134.9692,People ThankYou
43,Tulagi,SB,81.43,scattered clouds,-9.0996,160.1476,Raiders Hotel & Dive
44,Bowling Green,US,80.11,scattered clouds,36.9903,-86.4436,Hilton Garden Inn Bowling Green
45,Lichinga,MZ,68.09,smoke,-13.3128,35.2406,Residencial Bendiak
