City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,69.12,97,90,5.99,mist
1,Iqaluit,CA,63.7506,-68.5145,43.7,65,75,8.57,broken clouds
2,Guaruja,BR,-23.9931,-46.2564,77.07,52,75,3.44,moderate rain
3,Bredasdorp,ZA,-34.5322,20.0403,51.12,82,55,3.44,broken clouds
4,Vaini,TO,-21.2,-175.2,75.36,88,75,10.36,broken clouds
5,Mitsamiouli,KM,-11.3847,43.2844,75.47,79,10,8.97,clear sky
6,Leningradskiy,RU,69.3833,178.4167,17.83,84,82,4.0,broken clouds
7,New Norfolk,AU,-42.7826,147.0587,53.74,84,56,1.79,broken clouds
8,Shimoda,JP,34.6667,138.95,66.11,81,10,0.74,clear sky
9,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,94,20,6.6,few clouds
10,Atuona,PF,-9.8,-139.0333,77.7,75,13,17.78,few clouds
11,Hithadhoo,MV,-0.6,73.0833,82.98,77,85,18.3,overcast clouds
12,Qaanaaq,GL,77.484,-69.3632,30.13,97,100,7.29,overcast clouds
13,Ancud,CL,-41.8697,-73.8203,51.33,70,90,10.13,overcast clouds
14,Hilo,US,19.7297,-155.09,81.81,87,90,5.75,light rain
15,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,78,0,16.11,moderate rain
16,Yellowknife,CA,62.456,-114.3525,54.41,48,2,8.99,clear sky
17,Mataura,NZ,-46.1927,168.8643,46.47,85,100,8.16,overcast clouds
18,Ushuaia,AR,-54.8,-68.3,44.26,81,75,24.16,broken clouds
19,Hecun,CN,36.5333,114.1111,64.36,71,100,17.38,light rain
20,Jiwani,PK,25.05,61.7417,81.54,84,62,5.39,broken clouds
21,Ostrovnoy,RU,68.0531,39.5131,44.13,86,12,21.68,few clouds
22,Ulladulla,AU,-35.35,150.4667,59.9,80,80,3.42,broken clouds
23,Albany,US,42.6001,-73.9662,65.75,87,100,0.89,moderate rain
24,Faanui,PF,-16.4833,-151.75,78.62,73,40,10.65,scattered clouds
25,Tokur,RU,53.1333,132.9,23.41,90,9,1.25,clear sky
26,San Quintin,MX,30.4833,-115.95,80.4,39,100,8.5,overcast clouds
27,Banda Aceh,ID,5.5577,95.3222,78.75,83,62,11.03,broken clouds
28,Daman,IN,20.4167,72.85,80.8,84,100,3.04,overcast clouds
29,Puntarenas,CR,9.9763,-84.8384,82.33,72,75,7.25,broken clouds
30,Byron Bay,AU,-28.65,153.6167,71.06,55,22,10.13,few clouds
31,Poso,ID,-1.3959,120.7524,76.24,85,100,3.15,overcast clouds
